miner,epoch,param.penalty,param.gasreward,param.wincount,block_reward,total_reward,penalty,reward_payable
t01001,130,0,0,1,5492059308614706365,5492059308614706365,0,5492059308614706365
t01000,130,0,0,1,5492059308614706365,5492059308614706365,0,5492059308614706365
t01002,130,0,0,2,10984118617229412730,10984118617229412730,0,10984118617229412730
t01001,131,0,20392327,2,10984117612115785568,10984117612136177895,0,10984117612136177895
t01002,131,0,0,2,10984117612115785568,10984117612115785568,0,10984117612115785568
t01000,131,0,0,3,16476176418173678353,16476176418173678353,0,16476176418173678353
t01002,132,0,0,3,16476174910503375592,16476174910503375592,0,16476174910503375592
t01000,132,0,0,1,5492058303501125197,5492058303501125197,0,5492058303501125197
t01002,133,0,9004912,3,16476173402833210816,16476173402842215728,0,16476173402842215728
t01001,133,0,0,2,10984115601888807210,10984115601888807210,0,10984115601888807210
t01001,134,0,17723338,2,10984114596775456014,10984114596793179352,0,10984114596793179352
t01002,134,0,0,4,21968229193550912029,21968229193550912029,0,21968229193550912029
t01000,134,0,0,3,16476171895163184022,16476171895163184022,0,16476171895163184022
t01001,135,0,0,3,16476170387493295211,16476170387493295211,0,16476170387493295211
t01000,135,0,0,2,10984113591662196807,10984113591662196807,0,10984113591662196807
t01000,136,0,0,1,5492056293274514794,5492056293274514794,0,5492056293274514794
t01002,136,0,0,1,5492056293274514794,5492056293274514794,0,5492056293274514794
t01001,136,0,0,2,10984112586549029589,10984112586549029589,0,10984112586549029589
t01000,137,0,2251228,1,5492055790717977179,5492055790720228407,0,5492055790720228407
t01001,138,0,45763486,1,5492055288161485559,5492055288207249045,0,5492055288207249045
t01000,138,0,0,1,5492055288161485559,5492055288161485559,0,5492055288161485559
t01002,138,0,0,2,10984110576322971118,10984110576322971118,0,10984110576322971118
t01002,139,0,0,2,10984109571210079865,10984109571210079865,0,10984109571210079865
t01001,139,0,0,1,5492054785605039932,5492054785605039932,0,5492054785605039932
t01000,139,0,0,1,5492054785605039932,5492054785605039932,0,5492054785605039932
t01000,140,0,1765982,2,10984108566097280602,10984108566099046584,0,10984108566099046584
t01002,140,0,0,1,5492054283048640301,5492054283048640301,0,5492054283048640301
t01001,140,0,0,3,16476162849145920903,16476162849145920903,0,16476162849145920903
t01001,141,0,1765982,1,5492053780492286663,5492053780494052645,0,5492053780494052645
t01000,141,0,0,2,10984107560984573326,10984107560984573326,0,10984107560984573326
t01002,141,0,0,2,10984107560984573326,10984107560984573326,0,10984107560984573326
t01001,142,0,0,2,10984106555871958040,10984106555871958040,0,10984106555871958040
t01002,142,0,0,1,5492053277935979020,5492053277935979020,0,5492053277935979020
t01001,143,0,17126347,2,10984105550759434742,10984105550776561089,0,10984105550776561089
t01002,143,0,0,2,10984105550759434742,10984105550759434742,0,10984105550759434742
t01001,144,0,0,4,21968209091294006867,21968209091294006867,0,21968209091294006867
t01000,144,0,0,2,10984104545647003433,10984104545647003433,0,10984104545647003433
t01002,144,0,0,3,16476156818470505150,16476156818470505150,0,16476156818470505150
t01001,145,0,0,2,10984103540534664112,10984103540534664112,0,10984103540534664112
t01000,145,0,0,2,10984103540534664112,10984103540534664112,0,10984103540534664112
t01002,145,0,0,1,5492051770267332056,5492051770267332056,0,5492051770267332056
t01000,146,0,24726892,3,16476153803133625171,16476153803158352063,0,16476153803158352063
t01001,146,0,0,1,5492051267711208390,5492051267711208390,0,5492051267711208390
t01002,146,0,0,2,10984102535422416781,10984102535422416781,0,10984102535422416781
t01002,147,0,24522683,3,16476152295465392156,16476152295489914839,0,16476152295489914839
t01000,147,0,0,2,10984101530310261437,10984101530310261437,0,10984101530310261437
t01001,147,0,0,3,16476152295465392156,16476152295465392156,0,16476152295465392156
t01000,148,0,0,3,16476150787797297124,16476150787797297124,0,16476150787797297124
t01002,148,0,0,2,10984100525198198083,10984100525198198083,0,10984100525198198083
t01001,148,0,0,2,10984100525198198083,10984100525198198083,0,10984100525198198083
t01002,149,0,1765982,5,27460248800215566793,27460248800217332775,0,27460248800217332775
t01001,150,0,0,2,10984098514974347339,10984098514974347339,0,10984098514974347339
t01002,150,0,0,1,5492049257487173669,5492049257487173669,0,5492049257487173669
t01000,150,0,0,2,10984098514974347339,10984098514974347339,0,10984098514974347339
t01002,151,0,2295923,2,10984097509862559950,10984097509864855873,0,10984097509864855873
t01001,151,0,0,6,32952292529587679852,32952292529587679852,0,32952292529587679852
t01000,151,0,0,1,5492048754931279975,5492048754931279975,0,5492048754931279975
t01002,152,0,0,3,16476144757126296825,16476144757126296825,0,16476144757126296825
t01000,152,0,0,1,5492048252375432275,5492048252375432275,0,5492048252375432275
t01001,152,0,0,1,5492048252375432275,5492048252375432275,0,5492048252375432275
t01002,153,0,0,3,16476143249458891707,16476143249458891707,0,16476143249458891707
t01001,153,0,0,1,5492047749819630569,5492047749819630569,0,5492047749819630569
t01000,153,0,0,5,27460238749098152846,27460238749098152846,0,27460238749098152846
t01001,154,0,882991,1,5492047247263874857,5492047247264757848,0,5492047247264757848
t01000,154,0,0,1,5492047247263874857,5492047247263874857,0,5492047247263874857
t01001,155,0,27325706,1,5492046744708165140,5492046744735490846,0,5492046744735490846
t01002,155,0,0,2,10984093489416330280,10984093489416330280,0,10984093489416330280
t01000,155,0,0,2,10984093489416330280,10984093489416330280,0,10984093489416330280
t01002,156,0,21247573,3,16476138726457504251,16476138726478751824,0,16476138726478751824
t01001,156,0,0,3,16476138726457504251,16476138726457504251,0,16476138726457504251
t01000,156,0,0,4,21968184968610005668,21968184968610005668,0,21968184968610005668
t01001,157,0,21700159,2,10984091479193767376,10984091479215467535,0,10984091479215467535
t01000,157,0,0,3,16476137218790651065,16476137218790651065,0,16476137218790651065
t01002,158,0,40590404,1,5492045237041311954,5492045237081902358,0,5492045237081902358
t01001,158,0,0,5,27460226185206559770,27460226185206559770,0,27460226185206559770
t01001,159,0,0,3,16476134203457358640,16476134203457358640,0,16476134203457358640
t01002,159,0,0,5,27460223672428931068,27460223672428931068,0,27460223672428931068
t01000,159,0,0,2,10984089468971572427,10984089468971572427,0,10984089468971572427
t01000,160,0,0,2,10984088463860612935,10984088463860612935,0,10984088463860612935
t01001,160,0,0,1,5492044231930306467,5492044231930306467,0,5492044231930306467
t01000,161,0,0,2,10984087458749745431,10984087458749745431,0,10984087458749745431
t01002,161,0,0,3,16476131188124618147,16476131188124618147,0,16476131188124618147
t01001,161,0,0,3,16476131188124618147,16476131188124618147,0,16476131188124618147
t01000,162,0,21266666,4,21968172907277939832,21968172907299206498,0,21968172907299206498
t01001,162,0,0,3,16476129680458454874,16476129680458454874,0,16476129680458454874
t01002,163,0,2251228,2,10984085448528286390,10984085448530537618,0,10984085448530537618
t01000,163,0,0,1,5492042724264143195,5492042724264143195,0,5492042724264143195
t01001,163,0,0,3,16476128172792429585,16476128172792429585,0,16476128172792429585
t01002,164,0,28409241,4,21968168886835389704,21968168886863798945,0,21968168886863798945
t01000,164,0,0,1,5492042221708847426,5492042221708847426,0,5492042221708847426
t01000,165,0,6843074,1,5492041719153597651,5492041719160440725,0,5492041719160440725
t01002,165,0,0,4,21968166876614390604,21968166876614390604,0,21968166876614390604
t01001,165,0,0,2,10984083438307195302,10984083438307195302,0,10984083438307195302
t01000,166,0,4061905,3,16476123649795181611,16476123649799243516,0,16476123649799243516
t01002,166,0,0,1,5492041216598393870,5492041216598393870,0,5492041216598393870
t01001,166,0,0,3,16476123649795181611,16476123649795181611,0,16476123649795181611
t01000,167,0,0,3,16476122142129708252,16476122142129708252,0,16476122142129708252
t01002,167,0,0,1,5492040714043236084,5492040714043236084,0,5492040714043236084
t01001,167,0,0,2,10984081428086472168,10984081428086472168,0,10984081428086472168
t01002,168,0,0,2,10984080422976248584,10984080422976248584,0,10984080422976248584
t01001,168,0,0,1,5492040211488124292,5492040211488124292,0,5492040211488124292
t01000,168,0,0,1,5492040211488124292,5492040211488124292,0,5492040211488124292
t01000,169,0,0,1,5492039708933058494,5492039708933058494,0,5492039708933058494
t01002,169,0,0,2,10984079417866116988,10984079417866116988,0,10984079417866116988
t01001,169,0,0,1,5492039708933058494,5492039708933058494,0,5492039708933058494
t01001,170,0,0,1,5492039206378038690,5492039206378038690,0,5492039206378038690
t01000,170,0,0,3,16476117619134116070,16476117619134116070,0,16476117619134116070
t01001,171,0,2295923,2,10984077407646129761,10984077407648425684,0,10984077407648425684
t01000,171,0,0,1,5492038703823064880,5492038703823064880,0,5492038703823064880
t01002,172,0,5385447,1,5492038201268137065,5492038201273522512,0,5492038201273522512
t01000,172,0,0,1,5492038201268137065,5492038201268137065,0,5492038201268137065
t01001,172,0,0,1,5492038201268137065,5492038201268137065,0,5492038201268137065
t01001,173,0,21736557,2,10984075397426510488,10984075397448247045,0,10984075397448247045
t01002,173,0,0,3,16476113096139765733,16476113096139765733,0,16476113096139765733
t01001,174,0,0,1,5492037196158419417,5492037196158419417,0,5492037196158419417
t01002,174,0,0,1,5492037196158419417,5492037196158419417,0,5492037196158419417
t01000,174,0,0,2,10984074392316838834,10984074392316838834,0,10984074392316838834
t01000,175,0,2251228,1,5492036693603629584,5492036693605880812,0,5492036693605880812
t01002,175,0,0,4,21968146774414518338,21968146774414518338,0,21968146774414518338
t01002,176,0,0,1,5492036191048885746,5492036191048885746,0,5492036191048885746
t01001,176,0,0,2,10984072382097771492,10984072382097771492,0,10984072382097771492
t01000,176,0,0,1,5492036191048885746,5492036191048885746,0,5492036191048885746
t01000,177,0,0,3,16476107065482563705,16476107065482563705,0,16476107065482563705
t01002,177,0,0,2,10984071376988375803,10984071376988375803,0,10984071376988375803
t01001,177,0,0,1,5492035688494187901,5492035688494187901,0,5492035688494187901
t01001,178,0,3134219,1,5492035185939536051,5492035185942670270,0,5492035185942670270
